"Infos (Europe/Paris)";"Infos (Europe/Paris)";"Infos (Europe/Paris)";"Pièces ()";"Billets ()";"Chiffre Affaire ()";"Chiffre Affaire ()";"Chiffre Affaire ()";"Chiffre Affaire ()";"Chiffre Affaire ()";"Fidelite ()";"Fidelite ()";"FDC ()"
N°;Date;Heure;Total;Total;Esp.;C.B.;Jeton;Rendu*;Total;Util.*¹;Charg.*²;Total*³
1;2021-01-11;12:09:06;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;82,30
2;2021-09-24;09:01:02;1288,60;5735,00;12646,30;7496,70;0,00;27,00;20116,00;0,00;0,00;143,60
2;2021-09-24;09:01:02;1288,60;5735,00;12646,30;7496,70;0,00;27,00;20116,00;261,80;100,00;143,60
3;2024-03-27;13:45:46;3257,10;60240,00;65106,30;58683,50;0,00;228,32;123561,48;128,50;80,20;213,80
4;2024-04-16;15:32:35;54,70;1235,00;1252,40;1421,10;0,00;0,00;2673,50;0,00;0,00;178,70
5;2024-05-07;10:28:28;92,00;1240,00;1353,10;1811,90;0,00;4,50;3160,50;0,00;0,00;194,60
6;2024-05-30;11:28:18;142,80;1430,00;1593,00;1701,70;0,00;4,50;3290,20;0,00;0,00;220,10
7;2024-06-11;14:29:13;12,70;1005,00;818,60;932,20;0,00;0,00;1750,80;0,00;0,00;122,30
8;2024-06-17;11:18:15;0,00;490,00;513,50;427,40;0,00;4,50;936,40;0,00;0,00;224,50
9;2024-07-11;16:12:22;186,70;1245,00;1383,60;2188,60;0,00;0,00;3572,20;0,00;0,00;176,40
10;2024-07-29;14:54:45;94,40;1205,00;1328,20;1781,00;0,00;0,00;3109,20;0,00;0,00;205,20
11;2024-08-13;16:07:35;167,40;1170,00;1316,30;1904,20;0,00;0,00;3220,50;0,00;0,00;183,10
12;2024-08-30;18:31:30;185,20;1270,00;1480,10;2097,20;0,00;18,00;3559,30;0,00;0,00;190,00
13;2024-09-17;15:04:07;83,30;1095,00;1210,10;2336,90;0,00;0,00;3547,00;0,00;0,00;224,50
14;2024-10-07;16:04:14;125,50;1110,00;1180,60;2041,10;0,00;0,00;3221,70;0,00;0,00;169,60
15;2024-10-25;17:07:28;166,00;1120,00;1339,60;1864,70;0,00;5,00;3199,30;0,00;0,00;218,20
16;2024-11-21;15:44:31;446,30;1370,00;1793,60;2821,10;0,00;14,50;4600,20;0,00;0,00;201,70
17;2024-12-13;18:16:44;174,40;1250,00;1404,00;1930,20;0,00;0,00;3334,20;0,00;0,00;181,30
18;2025-01-02;17:00:41;113,10;1180,00;1313,30;1925,00;0,00;0,00;3238,30;0,00;0,00;201,50
19;2025-01-14;15:09:02;95,20;475,00;612,60;1258,40;0,00;21,00;1850,00;0,00;0,00;222,90
20;2025-02-18;11:46:31;412,20;1790,00;2192,30;3036,60;0,00;5,50;5223,40;0,00;0,00;216,30
21;2025-03-20;15:36:09;117,40;1645,00;1736,40;2686,20;0,00;5,00;4417,60;0,00;0,00;185,30
22;2025-04-24;14:56:08;276,80;1520,00;1831,20;2927,30;0,00;0,00;4758,50;0,00;0,00;221,50
23;2025-05-22;17:26:18;77,80;1590,00;1655,80;2072,30;0,00;9,00;3719,10;0,00;0,00;205,70
24;2025-06-05;14:50:09;177,60;480,00;676,40;1041,80;0,00;0,00;1718,20;0,00;0,00;224,50
25;2025-06-30;12:34:46;79,60;1350,00;1400,90;1915,00;0,00;4,50;3311,40;0,00;0,00;191,30
"*Les remboursements sont soustraits du Total chiffre affaires.
*¹Utilisation : Les paiements en fidelitée ne sont pas comptabilisés dans le chiffre d'affaires.
*²Chargement :Les chargements clé sont déja inclus dans le chiffre d'affaires espèces.
*³Fond de caisse : Valeur indicative estimée par les monnayeurs (imprécises)."
