"Export des alertes Vieux Boulogne-cpy"
""
""
""
"Période : 2025/01/01 00:00:00 - 2025/12/31 23:59:59"
""
"Date            Heure        Type                                          Alerte"
"2025-01-08     08:58:28     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-01-31     19:50:14     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-02-16     11:36:20    Important                  Un tube de 0.5 € contient moins de 10 pièces"
"2025-02-16     17:01:25    Important                  Un tube de 0.5 € contient moins de 10 pièces"
"2025-02-17     09:49:49     Critique                   Un tube de 0.5 € contient moins de 5 pièces"
"2025-02-17     14:21:36     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-02-17     14:25:22     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-02-21     08:48:57     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-02-28     02:29:09     Critique              Défaut Lecteur Billet : Le validateur a reset (0x0006)"
"2025-04-06     04:29:14     Critique              Défaut Lecteur Billet : Le validateur a reset (0x0006)"
"2025-04-10     08:55:54     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-01     07:57:17     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-09     09:00:07     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-13     09:27:17     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-13     14:29:38     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-13     14:31:07     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-13     14:31:24     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-13     14:31:39     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-13     14:53:17     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-14     14:04:37     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-14     14:11:20       Info                                Relève effectuée : N° 1"
"2025-05-26     01:29:20     Critique              Défaut Lecteur Billet : Le validateur a reset (0x0006)"
"2025-05-26     08:00:57     Critique              Défaut Lecteur Billet : Le validateur a reset (0x0006)"
"2025-05-26     09:05:33     Critique               Défaut Lecteur Billet : Cassette billet retiré (0x0008)"
"2025-05-26     09:07:07       Info                                Relève effectuée : N° 2"
""
""
""
""
"Vieux Boulogne-cpy - Serial : 2222049162EB4864 - Rue de lille - 62200 - Boulogne - France - 1234567890"
""
""
"*Les alertes n'existent qu'uniquement si la centrale est connectée. Si la centrale est hors ligne les alertes ne sont"
"pas enregistrées."
""
