Date(Europe/Paris);"C.A. Esp ()";"C.A. CB ()";"Jeton ()";"Fidelité ()";"Remb. ()";"C.A. Tot ()"
2025-01-01;10,00;26,00;0,00;0,00;0,00;36,00
2025-01-02;61,00;123,00;0,00;0,00;0,00;184,00
2025-01-03;45,00;23,00;0,00;0,00;-20,00;68,00
2025-01-04;38,00;173,00;0,00;0,00;0,00;211,00
2025-01-05;36,00;106,00;0,00;0,00;0,00;142,00
2025-01-06;54,00;122,00;0,00;0,00;0,00;176,00
2025-01-07;20,00;54,00;0,00;0,00;0,00;74,00
2025-01-08;26,00;41,00;0,00;0,00;0,00;67,00
2025-01-09;-7,00;36,00;0,00;0,00;-20,00;29,00
2025-01-10;54,00;48,00;0,00;0,00;0,00;102,00
2025-01-11;22,00;133,00;0,00;0,00;-10,00;155,00
2025-01-12;95,00;116,00;0,00;0,00;0,00;211,00
2025-01-13;59,00;38,00;0,00;0,00;-10,00;97,00
2025-01-14;58,00;66,00;0,00;0,00;0,00;124,00
2025-01-15;15,00;58,00;0,00;0,00;0,00;73,00
2025-01-16;21,00;33,00;0,00;0,00;-10,00;54,00
2025-01-17;43,00;42,00;0,00;0,00;0,00;85,00
2025-01-18;48,00;78,00;0,00;0,00;0,00;126,00
2025-01-19;60,00;90,00;0,00;0,00;-3,00;150,00
2025-01-20;34,00;46,00;0,00;0,00;-11,00;80,00
2025-01-21;13,00;75,00;0,00;0,00;0,00;88,00
2025-01-22;67,00;14,00;0,00;0,00;0,00;81,00
2025-01-23;60,00;63,00;0,00;0,00;-10,00;123,00
2025-01-24;94,00;2,00;0,00;0,00;0,00;96,00
2025-01-25;93,00;53,00;0,00;0,00;0,00;146,00
2025-01-26;136,00;38,00;0,00;0,00;0,00;174,00
2025-01-27;129,00;8,00;0,00;0,00;0,00;137,00
2025-01-28;37,00;0,00;0,00;0,00;0,00;37,00
2025-01-29;27,00;19,00;0,00;0,00;0,00;46,00
2025-01-30;12,00;36,00;0,00;0,00;-10,00;48,00
2025-01-31;65,00;77,00;0,00;0,00;-25,00;142,00
2025-02-01;59,00;76,00;0,00;0,00;0,00;135,00
2025-02-02;70,00;137,00;0,00;0,00;0,00;207,00
2025-02-03;30,00;68,00;0,00;0,00;-10,00;98,00
2025-02-04;13,00;46,00;0,00;0,00;0,00;59,00
2025-02-05;29,00;51,00;0,00;0,00;0,00;80,00
2025-02-06;116,00;70,00;0,00;0,00;-10,00;186,00
