id,date,total,trop_plein,deux_euros,un_euro,cinquante_centimes,vingt_centimes,dix_centimes,etat_avant,etat_apres
1,2021-01-19 10:25:10,112.9,0.9,13.0,40.0,55.0,64.0,66.0,0.0,112.9
2,2021-02-06 08:17:08,41.8,0.0,13.0,7.0,10.0,13.0,12.0,126.2,168.0
3,2021-02-06 14:34:30,48.5,0.0,19.0,5.0,8.0,5.0,5.0,136.4,184.9
4,2021-02-06 14:48:52,41.5,1.0,15.0,4.0,9.0,13.0,4.0,146.1,187.6
5,2021-02-21 07:53:06,82.5,0.5,35.0,0.0,15.0,16.0,18.0,86.5,169.0
6,2021-03-02 13:30:29,55.0,0.1,25.0,0.0,0.0,0.0,50.0,101.2,156.2
7,2021-03-28 09:43:36,9.3,0.0,0.0,0.0,0.0,18.0,57.0,171.8,181.1
8,2021-04-24 14:19:39,5.0,0.0,0.0,0.0,0.0,0.0,50.0,154.6,159.6
9,2021-05-28 09:03:53,10.8,1.6,0.0,0.0,2.0,37.0,24.0,201.4,212.2
10,2021-06-17 07:20:29,3.4,0.0,0.0,0.0,2.0,8.0,8.0,154.1,157.5
11,2021-06-17 07:23:53,0.6,0.0,0.0,0.0,0.0,3.0,0.0,157.5,158.1
12,2021-07-09 08:52:18,101.0,0.0,43.0,15.0,0.0,0.0,0.0,49.9,150.9
13,2021-08-18 06:09:47,3.3,0.2,0.0,0.0,0.0,0.0,33.0,158.9,162.2
14,2021-09-16 09:57:28,171.5,27.0,60.0,44.0,3.0,30.0,0.0,32.5,204.0
15,2021-10-01 09:03:26,88.8,73.0,38.0,0.0,13.0,20.0,23.0,108.6,197.4
16,2021-10-01 09:06:10,8.4,31.0,3.0,0.0,2.0,3.0,8.0,196.1,204.5
17,2021-10-03 09:43:49,0.9,10.0,0.0,0.0,1.0,2.0,0.0,203.0,203.9
18,2021-10-13 08:03:08,4.0,0.0,0.0,0.0,0.0,0.0,40.0,146.1,150.1
19,2021-10-25 11:32:08,4.0,0.0,0.0,0.0,0.0,0.0,40.0,61.7,65.7
20,2021-10-26 07:38:39,51.8,3.0,0.0,49.0,4.0,0.0,8.0,34.1,85.9
21,2021-11-03 08:00:45,101.2,3.4,29.0,29.0,17.0,23.0,11.0,74.7,175.9
22,2021-12-02 08:05:53,10.9,2.0,0.0,6.0,1.0,2.0,40.0,91.2,102.1
23,2021-12-06 10:33:51,2.9,2.4,0.0,1.0,0.0,0.0,19.0,94.1,97.0
24,2021-12-17 10:23:34,158.9,7.7,56.0,25.0,22.0,36.0,37.0,65.5,224.4
25,2021-12-28 10:14:19,17.8,2.1,2.0,0.0,15.0,31.0,1.0,174.4,192.2
26,2022-03-02 11:33:48,11.4,0.0,0.0,5.0,4.0,2.0,40.0,48.3,59.7
27,2022-05-17 08:23:18,21.5,0.2,0.0,5.0,6.0,45.0,45.0,95.7,117.2
28,2022-06-26 08:52:07,10.4,0.0,0.0,0.0,0.0,32.0,40.0,151.8,162.2
29,2022-08-06 08:41:38,7.2,0.0,0.0,0.0,0.0,0.0,72.0,179.7,186.9
30,2022-11-23 10:35:34,50.5,0.0,16.0,15.0,0.0,10.0,15.0,110.2,160.7
31,2022-12-12 13:00:09,68.8,0.0,23.0,14.0,7.0,21.0,11.0,126.2,195.0
32,2023-01-08 09:29:08,20.0,0.0,9.0,1.0,1.0,2.0,1.0,156.8,176.8
33,2023-01-20 09:10:22,20.0,0.0,9.0,1.0,1.0,1.0,3.0,190.5,210.5
34,2023-01-29 09:15:23,75.4,0.0,28.0,17.0,2.0,5.0,4.0,65.5,140.9
35,2023-01-29 09:16:37,4.3,0.0,0.0,0.0,1.0,14.0,10.0,140.9,145.2
36,2023-02-03 15:00:13,2.7,0.0,0.0,0.0,0.0,0.0,27.0,110.4,113.1
