date,tempmax,tempmin,conditions,precip
2024-01-01,9.0,6.8,"Rain, Overcast",8.243
2024-01-02,12.8,8.3,"Rain, Overcast",15.16
2024-01-03,11.4,9.3,"Rain, Partially cloudy",9.848
2024-01-04,10.0,8.1,"Rain, Partially cloudy",3.353
2024-01-05,10.2,6.3,"Rain, Overcast",5.288
2024-01-06,6.6,4.8,"Rain, Overcast",2.862
2024-01-07,4.5,-0.4,"Rain, Partially cloudy",1.02
2024-01-08,-0.3,-2.5,"Snow, Rain, Partially cloudy",0.028
2024-01-09,0.0,-4.3,Partially cloudy,0.0
2024-01-10,-0.6,-5.2,Partially cloudy,0.0
2024-01-11,3.2,-4.2,Partially cloudy,0.0
2024-01-12,5.0,3.1,Overcast,0.0
2024-01-13,3.3,1.1,Overcast,0.0
2024-01-14,3.4,0.4,"Snow, Rain, Overcast",0.085
2024-01-15,3.5,0.6,"Snow, Rain, Partially cloudy",0.055
2024-01-16,3.6,-1.4,Partially cloudy,0.0
2024-01-17,0.3,-2.1,"Snow, Rain, Overcast",0.057
2024-01-18,3.1,-0.3,"Snow, Rain, Partially cloudy",0.721
2024-01-19,4.3,-2.4,"Snow, Rain, Partially cloudy",1.56
2024-01-20,-1.2,-3.4,Partially cloudy,0.0
2024-01-21,8.3,-1.3,"Snow, Rain, Overcast",0.142
2024-01-22,12.2,8.5,"Rain, Partially cloudy",1.287
2024-01-23,12.8,5.2,"Rain, Partially cloudy",1.515
2024-01-24,12.9,9.1,"Rain, Overcast",1.673
2024-01-25,11.0,4.4,"Rain, Partially cloudy",0.284
2024-01-26,11.7,2.6,"Rain, Partially cloudy",1.713
2024-01-27,7.3,0.1,"Snow, Rain, Partially cloudy",0.419
2024-01-28,8.4,0.7,Partially cloudy,0.0
2024-01-29,11.0,3.0,Partially cloudy,0.0
2024-01-30,10.1,6.8,Overcast,0.0
2024-01-31,9.5,6.0,"Rain, Overcast",0.029
2024-02-01,10.5,3.8,"Rain, Partially cloudy",1.206
2024-02-02,10.7,4.0,"Rain, Partially cloudy",0.026
2024-02-03,11.3,9.9,Overcast,0.0
2024-02-04,11.6,10.4,"Rain, Overcast",0.032
2024-02-05,10.2,9.1,"Rain, Overcast",0.026
2024-02-06,12.2,9.8,"Rain, Overcast",0.032
2024-02-07,11.5,4.8,"Rain, Overcast",12.011
2024-02-08,12.0,4.2,"Rain, Overcast",7.75
2024-02-09,13.2,10.2,"Rain, Overcast",2.265
2024-02-10,12.2,8.3,"Rain, Partially cloudy",2.205
2024-02-11,10.3,7.2,"Rain, Overcast",2.202
2024-02-12,9.4,4.4,"Rain, Partially cloudy",1.2
2024-02-13,9.5,3.1,"Rain, Partially cloudy",0.169
2024-02-14,13.1,9.4,"Rain, Overcast",1.085
2024-02-15,15.7,12.0,"Rain, Overcast",0.903
2024-02-16,13.0,9.5,"Rain, Partially cloudy",0.801
2024-02-17,12.9,7.4,Partially cloudy,0.0
2024-02-18,12.2,8.9,"Rain, Partially cloudy",3.685
2024-02-19,10.5,7.8,"Rain, Partially cloudy",0.743
2024-02-20,10.8,5.7,"Rain, Partially cloudy",0.315
2024-02-21,10.8,8.6,"Rain, Overcast",4.238
2024-02-22,14.1,5.8,"Rain, Overcast",1.814
2024-02-23,7.2,4.3,"Rain, Partially cloudy",3.315
2024-02-24,7.5,3.6,"Snow, Rain, Overcast",2.016
2024-02-25,9.1,4.3,"Rain, Overcast",1.632
2024-02-26,6.9,5.7,"Rain, Overcast",13.694
2024-02-27,8.8,4.3,"Rain, Partially cloudy",0.439
2024-02-28,9.6,3.3,"Rain, Overcast",0.007
2024-02-29,10.1,8.5,"Rain, Overcast",0.926
2024-03-01,9.0,4.4,"Rain, Partially cloudy",4.384
2024-03-02,8.7,4.8,"Rain, Partially cloudy",10.732
2024-03-03,6.9,5.0,"Rain, Overcast",4.809
2024-03-04,11.1,2.3,"Rain, Partially cloudy",0.006
2024-03-05,9.3,3.4,"Rain, Partially cloudy",0.341
2024-03-06,11.1,4.4,"Rain, Partially cloudy",0.052
2024-03-07,10.6,3.5,"Rain, Partially cloudy",0.027
2024-03-08,11.9,2.6,Clear,0.0
2024-03-09,13.9,5.5,"Rain, Partially cloudy",0.086
2024-03-10,10.9,7.9,"Rain, Overcast",1.155
2024-03-11,9.1,7.5,"Rain, Overcast",4.156
2024-03-12,11.1,6.5,"Rain, Overcast",8.582
2024-03-13,13.3,10.7,"Rain, Overcast",0.057
2024-03-14,16.2,7.7,"Rain, Partially cloudy",0.054
2024-03-15,13.9,11.0,"Rain, Overcast",0.759
2024-03-16,11.4,7.9,"Rain, Partially cloudy",0.435
2024-03-17,13.3,8.3,"Rain, Overcast",1.308
2024-03-18,14.3,8.3,"Rain, Partially cloudy",0.321
2024-03-19,15.5,9.2,Partially cloudy,0.0
2024-03-20,16.7,6.6,"Rain, Partially cloudy",0.054
2024-03-21,12.7,7.3,"Rain, Partially cloudy",0.027
2024-03-22,11.0,8.2,"Rain, Overcast",2.646
2024-03-23,9.7,5.8,"Rain, Partially cloudy",4.327
2024-03-24,10.6,5.5,"Rain, Partially cloudy",0.133
2024-03-25,12.1,2.9,"Rain, Partially cloudy",0.038
2024-03-26,13.5,5.4,"Rain, Partially cloudy",1.8
2024-03-27,11.5,6.1,"Rain, Partially cloudy",0.142
2024-03-28,12.8,7.0,"Rain, Partially cloudy",2.9
2024-03-29,14.1,7.2,"Rain, Partially cloudy",5.0
2024-03-30,12.5,7.1,"Rain, Partially cloudy",5.9
2024-03-31,13.9,6.5,"Rain, Partially cloudy",6.3
2024-04-01,13.9,7.2,"Rain, Partially cloudy",1.417
2024-04-02,13.6,7.9,"Rain, Partially cloudy",1.615
2024-04-03,13.5,9.3,"Rain, Partially cloudy",6.97
2024-04-04,15.1,9.8,"Rain, Partially cloudy",4.483
2024-04-05,18.1,12.4,"Rain, Partially cloudy",1.874
2024-04-06,21.4,14.3,Partially cloudy,0.0
2024-04-07,19.2,13.0,"Rain, Partially cloudy",1.039
2024-04-08,19.6,9.4,"Rain, Partially cloudy",3.702
2024-04-09,12.8,9.0,"Rain, Partially cloudy",1.791
2024-04-10,14.7,5.9,Partially cloudy,0.0
2024-04-11,15.0,11.9,"Rain, Overcast",0.366
2024-04-12,20.2,11.4,"Rain, Partially cloudy",0.307
2024-04-13,22.0,11.2,Partially cloudy,0.0
2024-04-14,14.5,9.9,Partially cloudy,0.0
2024-04-15,11.1,7.1,"Rain, Partially cloudy",5.103
2024-04-16,10.7,7.1,"Rain, Overcast",3.341
2024-04-17,9.3,4.8,"Rain, Partially cloudy",3.855
2024-04-18,11.4,3.7,"Rain, Partially cloudy",0.887
2024-04-19,11.2,6.9,"Rain, Overcast",3.538
2024-04-20,9.1,5.6,"Rain, Overcast",0.893
2024-04-21,10.4,5.2,"Rain, Partially cloudy",1.254
2024-04-22,10.1,3.9,"Rain, Partially cloudy",0.168
2024-04-23,10.0,1.6,"Rain, Partially cloudy",0.456
2024-04-24,8.0,5.5,"Rain, Partially cloudy",1.465
2024-04-25,10.5,5.0,"Rain, Overcast",1.029
2024-04-26,9.8,6.7,"Rain, Overcast",2.642
2024-04-27,14.7,8.0,"Rain, Overcast",3.872
2024-04-28,12.7,8.6,"Rain, Partially cloudy",1.022
2024-04-29,17.8,5.2,"Rain, Partially cloudy",0.159
2024-04-30,18.3,10.5,"Rain, Partially cloudy",0.229
2024-05-01,19.9,11.8,"Rain, Partially cloudy",0.4
2024-05-02,15.3,10.4,"Rain, Partially cloudy",0.2
2024-05-03,15.2,9.5,"Rain, Partially cloudy",1.399
2024-05-04,15.6,6.1,"Rain, Partially cloudy",2.031
2024-05-05,16.8,6.0,"Rain, Partially cloudy",0.293
2024-05-06,16.3,11.2,"Rain, Overcast",2.492
2024-05-07,16.8,10.9,"Rain, Partially cloudy",1.762
2024-05-08,12.8,10.0,Overcast,0.0
2024-05-09,18.3,7.3,Partially cloudy,0.0
2024-05-10,19.5,9.8,Partially cloudy,0.0
2024-05-11,22.2,12.5,Partially cloudy,0.0
2024-05-12,25.5,13.5,"Rain, Partially cloudy",3.242
2024-05-13,21.4,14.6,"Rain, Partially cloudy",0.063
2024-05-14,19.3,13.8,"Rain, Partially cloudy",2.526
2024-05-15,17.8,12.7,"Rain, Overcast",9.734
2024-05-16,16.6,13.6,"Rain, Partially cloudy",7.911
2024-05-17,18.2,11.1,"Rain, Partially cloudy",1.611
2024-05-18,15.7,12.5,"Rain, Overcast",4.32
2024-05-19,18.4,11.8,"Rain, Partially cloudy",0.689
2024-05-20,17.4,12.6,"Rain, Partially cloudy",1.346
2024-05-21,15.9,13.2,"Rain, Overcast",6.777
2024-05-22,17.7,13.3,"Rain, Partially cloudy",0.762
2024-05-23,19.2,12.5,"Rain, Partially cloudy",1.554
2024-05-24,17.1,10.9,"Rain, Partially cloudy",0.625
2024-05-25,18.6,10.8,"Rain, Partially cloudy",0.111
2024-05-26,18.8,13.6,"Rain, Partially cloudy",4.131
2024-05-27,16.4,11.4,"Rain, Partially cloudy",0.536
2024-05-28,16.6,9.6,"Rain, Partially cloudy",1.26
2024-05-29,18.9,14.0,"Rain, Partially cloudy",2.187
2024-05-30,16.3,12.9,"Rain, Overcast",0.211
2024-05-31,15.5,12.4,"Rain, Overcast",7.303
2024-06-01,13.8,12.5,"Rain, Overcast",1.753
2024-06-02,15.7,11.2,Partially cloudy,0.0
2024-06-03,18.3,8.5,Partially cloudy,0.0
2024-06-04,20.4,13.8,Overcast,0.0
2024-06-05,17.3,11.7,"Rain, Partially cloudy",0.282
2024-06-06,17.1,9.4,"Rain, Partially cloudy",0.081
2024-06-07,18.7,8.6,Partially cloudy,0.0
2024-06-08,18.1,9.1,Partially cloudy,0.0
2024-06-09,17.6,9.5,"Rain, Partially cloudy",0.054
2024-06-10,14.0,11.3,"Rain, Partially cloudy",7.039
2024-06-11,14.5,8.6,"Rain, Partially cloudy",2.751
2024-06-12,15.3,10.0,"Rain, Overcast",0.954
2024-06-13,17.7,9.3,Partially cloudy,0.0
2024-06-14,18.0,11.9,"Rain, Overcast",4.401
2024-06-15,16.5,10.8,"Rain, Partially cloudy",3.568
2024-06-16,18.5,12.2,"Rain, Partially cloudy",1.619
2024-06-17,19.9,13.1,"Rain, Partially cloudy",0.315
2024-06-18,17.3,15.0,"Rain, Overcast",7.352
2024-06-19,19.0,14.1,"Rain, Partially cloudy",0.479
2024-06-20,20.4,13.0,"Rain, Partially cloudy",0.007
2024-06-21,20.5,14.1,"Rain, Partially cloudy",0.482
2024-06-22,20.0,13.6,"Rain, Partially cloudy",0.322
2024-06-23,22.1,11.9,Rain,0.049
2024-06-24,24.1,12.5,Clear,0.0
2024-06-25,26.0,15.9,Clear,0.0
2024-06-26,26.6,17.0,Clear,0.0
2024-06-27,26.0,16.7,Partially cloudy,0.0
2024-06-28,20.8,14.1,Partially cloudy,0.0
2024-06-29,22.5,10.8,"Rain, Partially cloudy",0.436
2024-06-30,20.7,14.6,"Rain, Overcast",0.38
2024-07-01,19.1,13.0,"Rain, Partially cloudy",0.53
2024-07-02,17.1,14.2,"Rain, Overcast",0.841
2024-07-03,17.7,12.7,"Rain, Overcast",3.281
2024-07-04,19.3,14.4,"Rain, Partially cloudy",2.04
2024-07-05,19.4,14.1,"Rain, Overcast",1.878
2024-07-06,17.9,13.3,"Rain, Partially cloudy",4.706
2024-07-07,18.9,11.0,"Rain, Partially cloudy",0.763
2024-07-08,19.8,12.8,"Rain, Partially cloudy",0.133
2024-07-09,24.1,16.0,"Rain, Overcast",3.732
2024-07-10,21.6,16.1,"Rain, Partially cloudy",1.69
2024-07-11,21.4,13.2,"Rain, Partially cloudy",0.111
2024-07-12,16.4,13.5,"Rain, Overcast",9.705
2024-07-13,19.4,12.0,"Rain, Partially cloudy",1.857
2024-07-14,21.1,11.5,Partially cloudy,0.0
2024-07-15,23.8,12.2,"Rain, Partially cloudy",0.463
2024-07-16,19.7,14.6,"Rain, Partially cloudy",3.363
2024-07-17,22.4,15.2,"Rain, Partially cloudy",0.471
2024-07-18,26.3,14.4,"Rain, Partially cloudy",0.005
2024-07-19,28.8,18.8,Partially cloudy,0.0
2024-07-20,26.6,18.6,Partially cloudy,0.0
2024-07-21,22.6,18.7,Partially cloudy,0.0
2024-07-22,22.5,15.0,"Rain, Partially cloudy",0.105
2024-07-23,19.6,15.6,"Rain, Partially cloudy",0.611
2024-07-24,22.8,13.5,"Rain, Partially cloudy",0.718
2024-07-25,22.9,15.8,"Rain, Overcast",2.565
2024-07-26,22.4,17.1,"Rain, Partially cloudy",1.458
2024-07-27,21.3,14.0,"Rain, Partially cloudy",0.027
2024-07-28,23.7,12.3,Clear,0.0
2024-07-29,27.3,14.3,Clear,0.0
2024-07-30,29.2,17.7,Partially cloudy,0.0
2024-07-31,27.3,20.1,"Rain, Partially cloudy",0.95
2024-08-01,24.4,19.8,"Rain, Partially cloudy",18.899
2024-08-02,24.8,17.3,"Rain, Partially cloudy",2.077
2024-08-03,22.0,16.8,"Rain, Partially cloudy",4.145
2024-08-04,22.1,15.8,"Rain, Partially cloudy",2.878
2024-08-05,24.7,13.2,"Rain, Partially cloudy",0.183
2024-08-06,25.9,15.6,Partially cloudy,0.0
2024-08-07,22.5,16.4,"Rain, Partially cloudy",0.165
2024-08-08,24.4,15.9,"Rain, Partially cloudy",0.153
2024-08-09,23.9,16.6,"Rain, Partially cloudy",0.192
2024-08-10,25.3,14.6,Partially cloudy,0.0
2024-08-11,26.8,14.7,Clear,0.0
2024-08-12,33.6,17.5,Partially cloudy,0.0
2024-08-13,24.3,18.8,"Rain, Partially cloudy",0.026
2024-08-14,24.4,16.6,"Rain, Partially cloudy",0.235
2024-08-15,24.7,16.0,Partially cloudy,0.0
2024-08-16,20.3,18.9,"Rain, Overcast",4.808
2024-08-17,22.8,16.7,"Rain, Partially cloudy",1.607
2024-08-18,20.9,14.6,"Rain, Partially cloudy",0.026
2024-08-19,22.4,12.7,Partially cloudy,0.0
2024-08-20,20.9,15.2,"Rain, Partially cloudy",12.214
