name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lille, Hauts-de-France, France",2025-01-01,49.8,40.7,45.7,42.1,33.6,37.6,41.8,86.3,0.354,100,20.83,rain,0,0,45.1,29.5,203.2,1014.4,99.3,17,12.6,1.1,1,,2025-01-01T08:49:15,2025-01-01T16:53:51,0.05,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06414099999,59580003,F2929,06432099999,06400099999,62516002,59606004,06428099999,LFQQ,62873001,07015099999,59343001"
"Lille, Hauts-de-France, France",2025-01-02,42.6,31.5,38.9,38.3,23.7,33.6,37.3,94,0.211,100,37.5,rain,0,0,22.7,12.5,274.2,1015.9,72.2,13.3,21.8,1.9,1,,2025-01-02T08:49:08,2025-01-02T16:54:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-03,39.5,28.3,33.6,33.2,20.7,26.5,30.3,88.3,0.006,100,8.33,"rain,snow",0,0,20.7,12.7,249,1023,41.5,20.3,13.2,1.2,1,,2025-01-03T08:48:58,2025-01-03T16:56:02,0.13,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-04,35.9,28.8,32.6,33.1,23.8,27.6,30.2,90.7,0,0,0,,0,0,20.7,11.5,142.1,1018.3,92.4,8.5,23.8,2,1,,2025-01-04T08:48:45,2025-01-04T16:57:11,0.16,Overcast,Cloudy skies throughout the day.,cloudy,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-05,53.7,32.6,45.3,53.7,23.9,42.3,43.8,94.6,0.381,100,70.83,"rain,snow",0.5,0,37.6,23,182.5,995.4,100,8.7,6.9,0.6,0,,2025-01-05T08:48:28,2025-01-05T16:58:22,0.2,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-06,53,39.3,47.9,53,31.5,44.1,43.1,83.6,0.128,100,29.17,rain,0,0,57.1,32,198.9,987.4,94.1,24,12,1,1,,2025-01-06T08:48:08,2025-01-06T16:59:35,0.23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-07,40.7,34.1,37.4,32,25.2,29,35.6,93.3,0.336,100,45.83,"rain,snow",0,0,37.6,19.6,216,1000.4,85.5,21.2,13.4,1.2,1,,2025-01-07T08:47:45,2025-01-07T17:00:51,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,59580003,F2929,62516002,59606004,62298001,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-08,37.5,31.3,33.8,34.5,22.8,28.6,33.3,98.1,0.053,100,33.33,"rain,snow",0,0.1,26,15.8,101.8,1002.3,78.5,5.7,14.4,1.3,1,,2025-01-08T08:47:19,2025-01-08T17:02:09,0.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06414099999,59580003,F2929,62516002,59606004,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-09,36.3,31.5,33.4,28.4,23.4,25.3,32.3,95.8,0.046,100,33.33,"rain,snow",0.9,1,23.6,13.6,322.3,1005.4,67.1,6.1,12.9,1.1,1,,2025-01-09T08:46:50,2025-01-09T17:03:28,0.34,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06414099999,59580003,F2929,62516002,59606004,62298001,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-10,40,24.2,29.7,40,21.6,29,28.1,94,0.007,100,4.17,"rain,snow",0,1.2,11.6,8.9,222.9,1020,21.5,3.7,20.5,1.8,2,,2025-01-10T08:46:18,2025-01-10T17:04:50,0.38,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain or snow.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-11,32,21.9,28.9,31.8,18.5,25.9,28.8,99.3,0.007,100,4.17,"rain,snow",0,1.2,11.2,6.6,190.6,1028.6,63.2,0.3,22.5,1.9,2,,2025-01-11T08:45:43,2025-01-11T17:06:14,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-12,39.8,31.4,34.4,39.8,26.2,32,34.3,99.3,0.001,100,4.17,rain,0,0.8,9.8,5.7,270.3,1039.6,94.3,0.8,18.6,1.6,1,,2025-01-12T08:45:04,2025-01-12T17:07:39,0.45,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-13,39.2,24.7,31.2,39,24.7,31,29.3,93,0.007,100,4.17,rain,0,0.1,9.3,5.7,90.1,1041.3,54.5,2.2,21.3,1.7,3,,2025-01-13T08:44:23,2025-01-13T17:09:07,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-14,39.5,23.1,31,35.4,17.8,27.8,28.5,91.1,0.004,100,4.17,rain,0,0,12,6.9,196.2,1036.2,59.3,3.2,27.5,2.4,2,,2025-01-14T08:43:39,2025-01-14T17:10:35,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06414099999,59580003,F2929,62516002,59606004,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-15,45.1,37.1,40.6,45,34.5,39.8,40.6,99.8,0.005,100,8.33,rain,0,0,8.1,5.4,249.6,1034.3,100,0.2,14.4,1.2,1,,2025-01-15T08:42:52,2025-01-15T17:12:06,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06414099999,59580003,F2929,D8013,62516002,59606004,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-16,43,35.8,39,40.5,32.9,37.2,38.4,97.6,0,0,0,,0,0,13.9,7.9,126.4,1035.7,100,2.7,17.5,1.3,1,,2025-01-16T08:42:02,2025-01-16T17:13:38,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-17,37.3,32.1,35,35.5,26.9,31.9,34.2,97,0,0,0,,0,0,11.9,6.7,140.6,1036.8,97.5,1.8,11.7,1.1,1,,2025-01-17T08:41:10,2025-01-17T17:15:11,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-18,33.5,28.9,31.6,29.2,22.3,26.4,31.1,98.2,0,0,0,,0,0,15.1,8.1,90.4,1030.7,100,1.7,9.7,0.9,1,,2025-01-18T08:40:14,2025-01-18T17:16:45,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-19,33.4,30.5,31.7,29.2,24.1,26.8,30.4,95,0,0,0,,0,0,15.1,6.7,145.4,1023.1,100,2.2,11.4,0.9,1,,2025-01-19T08:39:16,2025-01-19T17:18:21,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-20,34.1,30.2,31.7,31.7,23.7,27.1,30.7,96,0,0,0,,0,0,11.4,7.1,167.2,1019.8,99.7,2.1,14.9,1.3,1,,2025-01-20T08:38:16,2025-01-20T17:19:58,0.71,Overcast,Cloudy skies throughout the day.,cloudy,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-01-21,34.2,27.1,30.3,31.7,20.8,24.8,30,98.9,0,0,0,,0,0,13.3,7.9,145.1,1015.7,61,1.3,22.2,1.8,1,,2025-01-21T08:37:12,2025-01-21T17:21:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
