date,ca_esp,ca_cb,jeton,fidelite,remb,ca_tot,kWh,euros,co2_estime,nb_alertes_total,nb_alertes_critique,nb_alertes_importante,nb_alertes_info,nb_alertes_tube,nb_alertes_choc,nb_alertes_lecteur,nb_alertes_monnaie,nb_alertes_erreur_0105,nb_remplissages,total_rempli,nb_transactions,tempmax,tempmin,conditions,precip,ferie,vacances
2024-01-01,31.5,38.1,0.0,0.0,0.0,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,9.0,6.8,"Rain, Overcast",8.243,True,False
2024-01-02,52.3,152.5,0.0,0.0,0.0,204.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,12.8,8.3,"Rain, Overcast",15.16,False,False
2024-01-03,40.2,120.3,0.0,0.0,-10.0,160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,11.4,9.3,"Rain, Partially cloudy",9.848,False,False
2024-01-04,52.5,123.3,0.0,0.0,-20.0,175.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.6,53,10.0,8.1,"Rain, Partially cloudy",3.353,False,False
2024-01-05,60.3,101.4,0.0,0.0,-10.0,161.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,10.2,6.3,"Rain, Overcast",5.288,False,False
2024-01-06,75.6,144.2,0.0,0.0,0.0,219.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,6.6,4.8,"Rain, Overcast",2.862,False,False
2024-01-07,77.7,68.0,0.0,0.0,0.0,145.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,4.5,-0.4,"Rain, Partially cloudy",1.02,False,False
2024-01-08,51.4,55.8,0.0,0.0,-10.0,107.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,-0.3,-2.5,"Snow, Rain, Partially cloudy",0.028,False,False
2024-01-09,104.4,86.4,0.0,0.0,-20.0,190.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0.0,-4.3,Partially cloudy,0.0,False,False
2024-01-10,23.5,76.1,0.0,0.0,-10.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,-0.6,-5.2,Partially cloudy,0.0,False,False
2024-01-11,54.9,40.1,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3.2,-4.2,Partially cloudy,0.0,False,False
2024-01-12,17.8,148.0,0.0,0.0,-20.0,165.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,53,5.0,3.1,Overcast,0.0-è_,False,False
2024-01-13,55.5,71.5,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,3.3,1.1,Overcast,0.0,False,False
2024-01-14,60.2,98.3,0.0,0.0,0.0,158.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,3.4,0.4,"Snow, Rain, Overcast",0.085,False,False
2024-01-15,16.9,125.0,0.0,0.0,-20.0,141.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,3.5,0.6,"Rain, Partially cloudy",0.055,False,False
2024-01-16,29.0,58.2,0.0,0.0,0.0,87.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28,3.6,-1.4,Partially cloudy,0.0,False,False
2024-01-17,21.0,44.2,0.0,0.0,-10.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.3,-2.1,"Snow, Rain, Overcast",0.057,False,False
2024-01-18,40.0,105.2,0.0,0.0,0.0,145.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3.1,-0.3,"Snow, Rain, Partially cloudy",0.721,False,False
2024-01-19,39.0,74.2,0.0,0.0,-10.0,113.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,4.3,-2.4,"Snow, Rain, Partially cloudy",1.56,False,False
2024-01-20,61.5,26.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,-1.2,-3.4,Partially cloudy,0.0,False,False
2024-01-21,85.2,68.4,0.0,0.0,0.0,153.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,8.3,-1.3,"Rain, Overcast",0.142,False,False
2024-01-22,45.8,111.9,0.0,0.0,-10.0,157.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,12.2,8.5,"Rain, Partially cloudy",1.287,False,False
2024-01-23,62.7,60.7,0.0,0.0,0.0,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,12.8,5.2,"Rain, Partially cloudy",1.515,False,False
2024-01-24,-3.0,99.0,0.0,0.0,-25.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,12.9,9.1,"Rain, Overcast",1.673,False,False
2024-01-25,48.7,113.6,0.0,0.0,0.0,162.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,11.0,4.4,"Rain, Partially cloudy",0.284,False,False
2024-01-26,46.5,61.3,0.0,0.0,-10.0,107.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11.7,2.6,"Rain, Partially cloudy",1.713,False,False
2024-01-27,40.5,52.2,0.0,0.0,0.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7.3,0.1,"Snow, Rain, Partially cloudy",0.419,False,False
2024-01-28,46.4,53.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,8.4,0.7,Partially cloudy,0.0,False,False
2024-01-29,76.4,46.0,0.0,0.0,-10.0,122.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,11.0,3.0,Partially cloudy,0.0,False,False
2024-01-30,45.4,48.5,0.0,0.0,0.0,93.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,10.1,6.8,Overcast,0.0,False,False
2024-01-31,51.6,87.6,0.0,0.0,-10.0,139.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,9.5,6.0,"Rain, Overcast",0.029,False,False
2024-02-01,47.4,50.5,0.0,0.0,0.0,97.9,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30,10.5,3.8,"Rain, Partially cloudy",1.206,False,False
2024-02-02,28.0,165.3,0.0,0.0,-10.0,193.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,170.5,62,10.7,4.0,"Rain, Partially cloudy",0.026,False,False
2024-02-03,97.2,174.1,0.0,0.0,0.0,271.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,11.3,9.9,Overcast,0.0,False,False
2024-02-04,68.7,102.1,0.0,0.0,0.0,170.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,11.6,10.4,"Rain, Overcast",0.032,False,False
2024-02-05,37.7,92.7,0.0,0.0,-10.0,130.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,10.2,9.1,"Rain, Overcast",0.026,False,False
2024-02-06,79.5,161.7,0.0,0.0,0.0,241.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,12.2,9.8,"Rain, Overcast",0.032,False,False
2024-02-07,33.5,60.7,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,11.5,4.8,"Rain, Overcast",12.011,False,False
2024-02-08,42.0,64.5,0.0,0.0,-10.0,106.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,12.0,4.2,"Rain, Overcast",7.75,False,False
2024-02-09,37.1,119.7,0.0,0.0,0.0,156.8,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46,13.2,10.2,"Rain, Overcast",2.265,False,False
2024-02-10,29.2,60.0,0.0,0.0,0.0,89.2,0.0,0.0,0.0,4.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27,12.2,8.3,"Rain, Partially cloudy",2.205,False,False
2024-02-11,25.6,38.0,0.0,0.0,-20.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,164.8,26,10.3,7.2,"Rain, Overcast",2.202,False,False
2024-02-12,21.0,49.5,0.0,0.0,-10.0,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,9.4,4.4,"Rain, Partially cloudy",1.2,False,False
2024-02-13,26.7,7.5,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9.5,3.1,"Rain, Partially cloudy",0.169,False,False
2024-02-14,76.5,42.2,0.0,0.0,-10.0,118.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,13.1,9.4,"Rain, Overcast",1.085,False,False
2024-02-15,128.2,136.9,0.0,0.0,0.0,265.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,15.7,12.0,"Rain, Overcast",0.903,False,False
2024-02-16,71.6,150.7,0.0,0.0,-10.0,222.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,13.0,9.5,"Rain, Partially cloudy",0.801,False,False
2024-02-17,68.7,154.3,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,12.9,7.4,Partially cloudy,0.0,False,False
