date,ca_esp,ca_cb,jeton,fidelite,remb,ca_tot,kWh,euros,co2_estime,tempmax,tempmin,conditions,precip,ferie,vacances
2024-01-01,3.0,33.0,0.0,0.0,-10.0,36.0,,,,10.2,7.2,"Rain, Overcast",16.509,True,False
2024-01-02,31.0,47.0,0.0,0.0,0.0,78.0,,,,12.2,9.4,"Rain, Overcast",21.19,False,False
2024-01-03,75.0,78.0,0.0,0.0,0.0,153.0,,,,11.4,8.9,"Rain, Partially cloudy",8.015,False,False
2024-01-04,43.0,30.0,0.0,0.0,0.0,73.0,,,,10.4,8.9,"Rain, Partially cloudy",0.406,False,False
2024-01-05,-14.0,100.0,0.0,0.0,-20.0,86.0,,,,10.1,5.9,"Rain, Overcast",8.993,False,False
2024-01-06,90.0,118.0,0.0,0.0,0.0,208.0,,,,6.2,4.3,"Rain, Overcast",0.001,False,False
2024-01-07,62.0,118.0,0.0,0.0,0.0,180.0,,,,5.0,-0.6,"Rain, Partially cloudy",1.398,False,False
2024-01-08,-2.0,74.0,0.0,0.0,-20.0,72.0,,,,0.6,-1.8,Partially cloudy,0.0,False,False
2024-01-09,36.0,47.0,0.0,0.0,0.0,83.0,,,,-0.4,-4.1,Partially cloudy,0.0,False,False
2024-01-10,17.0,83.0,0.0,0.0,0.0,100.0,,,,-1.1,-5.9,Partially cloudy,0.0,False,False
2024-01-11,111.0,103.0,0.0,0.0,0.0,214.0,,,,5.3,-3.6,Partially cloudy,0.0,False,False
2024-01-12,50.0,50.0,0.0,0.0,-10.0,100.0,,,,6.0,4.3,Overcast,0.0,False,False
2024-01-13,99.0,129.0,0.0,0.0,0.0,228.0,,,,4.3,2.4,Overcast,0.0,False,False
2024-01-14,47.0,167.0,0.0,0.0,-25.0,214.0,,,,5.7,0.8,"Rain, Overcast",0.199,False,False
2024-01-15,11.0,110.0,0.0,0.0,-10.0,121.0,,,,4.9,0.6,Partially cloudy,0.0,False,False
2024-01-16,26.0,35.0,0.0,0.0,0.0,61.0,,,,4.1,-1.7,Partially cloudy,0.0,False,False
2024-01-17,29.0,31.0,0.0,0.0,0.0,60.0,,,,2.1,-0.9,"Snow, Rain, Overcast",0.009,False,False
2024-01-18,15.0,36.0,0.0,0.0,0.0,51.0,,,,2.7,1.0,"Snow, Rain, Partially cloudy",0.797,False,False
2024-01-19,38.0,54.0,0.0,0.0,-20.0,92.0,,,,5.5,0.6,Clear,0.0,False,False
2024-01-20,44.0,76.0,0.0,0.0,0.0,120.0,,,,2.0,-2.9,Partially cloudy,0.0,False,False
2024-01-21,80.0,126.0,0.0,0.0,0.0,206.0,,,,10.4,-0.4,"Rain, Overcast",0.199,False,False
2024-01-22,-3.0,35.0,0.0,0.0,-10.0,32.0,,,,10.9,8.9,"Rain, Partially cloudy",2.606,False,False
2024-01-23,69.0,33.0,0.0,0.0,0.0,102.0,,,,11.2,7.9,"Rain, Partially cloudy",0.401,False,False
2024-01-24,50.0,56.0,0.0,0.0,0.0,106.0,,,,10.9,8.9,Overcast,0.0,False,False
2024-01-25,12.0,45.0,0.0,0.0,0.0,57.0,,,,10.4,7.9,"Rain, Overcast",0.8,False,False
2024-01-26,-4.0,63.0,0.0,0.0,-10.0,59.0,,,,10.7,7.0,"Rain, Partially cloudy",1.399,False,False
2024-01-27,76.0,101.0,0.0,0.0,0.0,177.0,,,,6.9,2.3,Partially cloudy,0.0,False,False
2024-01-28,20.0,154.0,0.0,0.0,0.0,174.0,,,,9.6,3.3,Partially cloudy,0.0,False,False
2024-01-29,17.0,45.0,0.0,0.0,-10.0,62.0,,,,11.6,7.5,Overcast,0.0,False,False
2024-01-30,35.0,67.0,0.0,0.0,0.0,102.0,,,,11.8,7.3,Overcast,0.0,False,False
2024-01-31,45.0,26.0,0.0,0.0,-20.0,71.0,,,,9.6,6.3,Overcast,0.0,False,False
2024-02-01,21.0,50.0,0.0,0.0,0.0,71.0,,,,9.7,5.5,"Rain, Partially cloudy",0.601,False,False
2024-02-02,41.0,75.0,0.0,0.0,0.0,116.0,,,,9.2,7.1,Partially cloudy,0.0,False,False
2024-02-03,41.0,123.0,0.0,0.0,-20.0,164.0,,,,9.4,9.2,Overcast,0.0,False,False
2024-02-04,57.0,152.0,0.0,0.0,0.0,209.0,,,,9.7,9.2,Overcast,0.0,False,False
2024-02-05,70.0,159.0,0.0,0.0,-10.0,229.0,,,,9.4,7.9,"Rain, Overcast",0.398,False,False
