date,remb_lav1
2024-01-03,-10.0
2024-01-04,-20.0
2024-01-05,-10.0
2024-01-08,-10.0
2024-01-09,-20.0
2024-01-10,-10.0
2024-01-12,-20.0
2024-01-15,-20.0
2024-01-17,-10.0
2024-01-19,-10.0
2024-01-22,-10.0
2024-01-24,-25.0
2024-01-26,-10.0
2024-01-29,-10.0
2024-01-31,-10.0
2024-02-02,-10.0
2024-02-05,-10.0
2024-02-08,-10.0
2024-02-11,-20.0
2024-02-12,-10.0
2024-02-14,-10.0
2024-02-16,-10.0
2024-02-18,-20.0
2024-02-19,-10.0
2024-02-21,-10.0
2024-02-23,-10.0
2024-02-26,-10.0
2024-02-28,-10.0
2024-03-01,-10.0
2024-03-04,-10.0
2024-03-06,-10.0
2024-03-11,-20.0
2024-03-12,-25.0
2024-03-13,-10.0
2024-03-16,-25.0
2024-03-20,-10.0
2024-03-22,-10.0
2024-03-24,-10.0
2024-04-24,-4.5
2024-05-16,-4.5
2024-06-13,-4.5
2024-08-18,-9.0
2024-08-26,-9.0
2024-10-25,-5.0
2024-10-30,-4.5
2024-11-07,-2.5
2024-11-13,-7.5
2025-01-11,-20.0
2025-01-14,-2.0
2025-02-01,-4.5
2025-02-22,-5.0
2025-05-01,-9.0
2025-06-30,-4.5
