ds,y_true,y_pred
2025-05-26,136.3,147.39598
2025-05-27,109.0,126.34534
2025-05-28,151.9,115.436516
2025-05-29,198.9,149.83475
2025-05-30,129.4,125.67993
2025-06-02,125.1,147.39598
2025-06-03,91.5,126.34534
2025-06-04,46.5,107.90643
2025-06-05,148.9,131.67294
2025-06-06,109.3,125.67993
2025-06-09,260.3,307.29544
2025-06-10,133.6,126.34534
2025-06-11,133.4,115.436516
2025-06-12,143.7,131.67294
2025-06-13,169.2,125.67993
2025-06-16,123.2,147.39598
2025-06-17,149.1,126.34534
2025-06-18,187.8,115.436516
2025-06-19,132.3,131.67294
2025-06-20,107.0,125.67993
2025-06-23,65.2,147.39598
2025-06-24,57.5,126.34534
2025-06-25,118.4,115.436516
2025-06-26,48.5,131.67294
2025-06-27,140.1,125.67993
2025-06-30,128.4,147.39598
