description,start_date,end_date,zones
Vacances de la Toussaint,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Zone A
Vacances de la Toussaint,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Zone A
Vacances de Noël,2017-12-22 23:00:00+00:00,2018-01-07 23:00:00+00:00,Zone A
Vacances de Noël,2017-12-22 23:00:00+00:00,2018-01-07 23:00:00+00:00,Zone A
Vacances d'Hiver,2018-02-09 23:00:00+00:00,2018-02-25 23:00:00+00:00,Zone A
Vacances d'Hiver,2018-02-09 23:00:00+00:00,2018-02-25 23:00:00+00:00,Zone A
Vacances d'Hiver,2018-02-09 23:00:00+00:00,2018-02-25 23:00:00+00:00,Zone A
Vacances d'Hiver,2018-02-09 23:00:00+00:00,2018-02-25 23:00:00+00:00,Zone A
Vacances d'Hiver,2018-02-09 23:00:00+00:00,2018-02-25 23:00:00+00:00,Zone A
Vacances de Printemps,2018-04-06 22:00:00+00:00,2018-04-22 22:00:00+00:00,Zone A
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-08-30 22:00:00+00:00,Zone A
Vacances de la Toussaint,2018-10-19 22:00:00+00:00,2018-11-04 23:00:00+00:00,Zone A
Vacances de la Toussaint,2018-10-19 22:00:00+00:00,2018-11-04 23:00:00+00:00,Zone A
Vacances d'Hiver,2019-02-15 23:00:00+00:00,2019-03-03 23:00:00+00:00,Zone A
Vacances de Printemps,2019-04-12 22:00:00+00:00,2019-04-28 22:00:00+00:00,Zone A
Vacances de Printemps,2019-04-12 22:00:00+00:00,2019-04-28 22:00:00+00:00,Zone A
Pont de l'Ascension,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Zone A
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Zone A
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Zone A
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Zone A
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone A
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone A
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone A
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone A
Vacances de la Toussaint,2019-10-18 22:00:00+00:00,2019-11-03 23:00:00+00:00,Zone A
Vacances de Noël,2019-12-20 23:00:00+00:00,2020-01-05 23:00:00+00:00,Zone A
Vacances de Printemps,2020-04-17 22:00:00+00:00,2020-05-03 22:00:00+00:00,Zone A
Vacances de Printemps,2020-04-17 22:00:00+00:00,2020-05-03 22:00:00+00:00,Zone A
Pont de l'Ascension,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Zone A
Pont de l'Ascension,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Zone A
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Zone A
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Zone A
Vacances de Noël,2020-12-18 23:00:00+00:00,2021-01-03 23:00:00+00:00,Zone A
Vacances de Noël,2020-12-18 23:00:00+00:00,2021-01-03 23:00:00+00:00,Zone A
Vacances de Noël,2020-12-18 23:00:00+00:00,2021-01-03 23:00:00+00:00,Zone A
Vacances de Noël,2020-12-18 23:00:00+00:00,2021-01-03 23:00:00+00:00,Zone A
Vacances d'Hiver,2021-02-05 23:00:00+00:00,2021-02-21 23:00:00+00:00,Zone A
Vacances de Printemps,2021-04-09 22:00:00+00:00,2021-04-25 22:00:00+00:00,Zone A
Vacances de Printemps,2021-04-09 22:00:00+00:00,2021-04-25 22:00:00+00:00,Zone A
Vacances de Printemps,2021-04-09 22:00:00+00:00,2021-04-25 22:00:00+00:00,Zone A
Pont de l'Ascension,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Zone A
Pont de l'Ascension,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Zone A
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-08-31 22:00:00+00:00,Zone A
Vacances de la Toussaint,2021-10-22 22:00:00+00:00,2021-11-07 23:00:00+00:00,Zone A
Vacances de Noël,2021-12-17 23:00:00+00:00,2022-01-02 23:00:00+00:00,Zone A
Vacances de Printemps,2022-04-15 22:00:00+00:00,2022-05-01 22:00:00+00:00,Zone A
Vacances de Printemps,2022-04-15 22:00:00+00:00,2022-05-01 22:00:00+00:00,Zone A
Pont de l'Ascension,2022-05-25 22:00:00+00:00,2022-05-29 22:00:00+00:00,Zone A
Pont de l'Ascension,2022-05-25 22:00:00+00:00,2022-05-29 22:00:00+00:00,Zone A
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-30 22:00:00+00:00,Zone A
Vacances de la Toussaint,2022-10-21 22:00:00+00:00,2022-11-06 23:00:00+00:00,Zone A
Vacances de la Toussaint,2022-10-21 22:00:00+00:00,2022-11-06 23:00:00+00:00,Zone A
Vacances de la Toussaint,2022-10-21 22:00:00+00:00,2022-11-06 23:00:00+00:00,Zone A
Vacances de Noël,2022-12-16 23:00:00+00:00,2023-01-02 23:00:00+00:00,Zone A
Vacances d'Hiver,2023-02-03 23:00:00+00:00,2023-02-19 23:00:00+00:00,Zone A
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone A
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone A
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone A
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone A
Vacances d'Été,2023-07-07 22:00:00+00:00,2023-09-03 22:00:00+00:00,Zone A
Vacances d'Été,2023-07-07 22:00:00+00:00,2023-08-31 22:00:00+00:00,Zone A
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone A
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone A
